Google Ads campaign,Nth week,Google Ads cost,Google Ads impressions,Active users
md_pmax_алкоголь_вино,16,63186.83,752990,548
md_pmax_товары_для_дома,24,63164.475726,761409,945
md_pmax_детские_товары_питание,18,63096.110117,598587,536
md_pmax_красота_и_уход_лореаль,39,63046.983074,810869,987
md_pmax_детские_товары_игрушки_лего,31,62970.187767,871407,476
md_pmax_зоотовары_коты_кормление,23,62958.48,424078,662
md_pmax_алкоголь_пиво,60,62931.91,819567,874
md_pmax_алкоголь_пиво,11,62891.68,900007,540
md_pmax_красота_и_уход_лореаль,38,62852.324177,876948,767
srch_DSA_алкоголь_UA,31,62782.148252,399070,661
md_pmax_детские_товары_питание,47,62715.069357,317731,636
md_pmax_товары_для_дома,19,62630.896814,824573,1078
md_pmax_продукты_питания_напитки_холодные_вода,10,62625.238226,714163,558
brand_shopping,54,62570.235377,1446445,3363
md_pmax_зоотовары_коты_кормление,53,62459.183383,369263,860
brand_shopping,44,62404.776876,1694203,3298
md_pmax_товары_для_здоровья_БАДы,46,62286.182175,917170,977
md_pmax_алкоголь_вино_игристое,8,62231.11,618654,334
md_pmax_товары_для_дома_посуда_столовая_посуда,14,62210.797929,584680,356
md_pmax_алкоголь_виски,21,62192.47,618179,641
md_pmax_детские_товары_подгузники,6,62159.377389,448382,487
md_pmax_детские_товары_игрушки_лего,38,61938.01838,724232,580
md_pmax_товары_для_дома_посуда_посуда_для_приготовления_пищи,25,61658.738908,745376,743
brand_shopping,51,61580.079472,1341070,3564
md_pmax_продукты_питания_напитки_кофе,52,61557.043275,458832,807
md_pmax_зоотовары_коты_кормление,55,61413.260265,392881,742
md_pmax_продукты_питания_напитки_холодные_вода,9,61352.277938,734870,549
md_pmax_детские_товары_подгузники,25,61331.680829,387045,532
md_pmax_детские_товары_подгузники,29,61284.794954,449634,509
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,22,61256.5,273082,645
md_pmax_зоотовары_собаки_кормление,11,61252.86,321365,387
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,51,61233.57802,248983,543
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,24,61233.534846,310517,535
md_pmax_детские_товары_игрушки_a,24,61197.651665,952328,650
md_pmax_детские_товары_подгузники,52,61135.64051,336537,612
md_pmax_детские_товары_подгузники,44,60933.876083,365839,690
md_pmax_красота_и_уход_лореаль,40,60817.043289,741529,1046
md_pmax_детские_товары_подгузники,42,60812.645735,404409,629
md_pmax_зоотовары_собаки_кормление,16,60747.91,325931,432
md_pmax_детские_товары_питание,24,60733.323559,505906,447
md_pmax_красота_и_уход_лореаль,41,60718.570881,739631,889
md_pmax_алкоголь_пиво,27,60691.074715,805721,610
md_pmax_товары_для_дома_посуда_посуда_для_приготовления_пищи,26,60577.233786,736651,847
md_pmax_детские_товары_подгузники,26,60488.097617,369062,489
md_pmax_товары_для_дома,32,60401.09,805723,949
md_pmax_продукты_питания_напитки_кофе,43,60397.379512,501084,924
brand_shopping,50,60379.910712,1365353,3345
md_pmax_детские_товары_питание,37,60376.944956,473193,555
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,29,60313.220919,327837,597
md_pmax_алкоголь_вино_игристое,9,60001.27,589505,378
md_pmax_детские_товары_игрушки_a,37,59726.904304,825095,1212
md_pmax_зоотовары_коты_кормление,11,59610.482955,428103,608
md_pmax_продукты_питания_кондитерка,30,59571.86,820867,938
md_pmax_товары_для_дома,33,59564.123824,758400,966
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,46,59544.369207,254100,569
md_pmax_алкоголь_пиво,59,59514.343924,786328,918
md_pmax_алкоголь_пиво,10,59333.38,827884,687
md_pmax_товары_для_здоровья_БАДы,42,59238.538327,1024868,989
md_pmax_товары_для_дома,1,59201.15,1016458,773
brand_shopping,55,59163.490619,1371837,3277
md_pmax_красота_и_уход_лореаль,42,59112.909054,726387,912
md_pmax_алкоголь_вино,42,59082.344498,646644,697
md_pmax_детские_товары_подгузники,23,59008.32,401620,530
pr_mega_demgen_infinity25_2503,43,59007.706243,1030429,67
md_pmax_алкоголь_пиво,29,59000.662245,770330,744
md_pmax_детские_товары_питание,17,58942.130036,560901,486
md_pmax_алкоголь_вино,17,58882.12,677021,579
md_pmax_алкоголь_пиво,13,58772.38,993781,612
md_pmax_детские_товары_питание,10,58772.335866,566501,435
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,27,58764.793795,297834,593
brand_shopping,45,58726.813454,1597896,3599
md_pmax_зоотовары_коты_кормление,30,58718.146676,390187,719
srch_DSA_алкоголь_UA,29,58712.105224,336240,1125
md_pmax_продукты_питания_напитки_холодные_вода_сладкая,22,58683.164035,584519,732
md_pmax_товары_для_здоровья_БАДы,43,58627.944814,986104,922
md_pmax_алкоголь_пиво,37,58547.572917,807405,748
md_pmax_детские_товары_игрушки_лего,39,58469.547248,685152,593
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,26,58381.976793,293036,579
shop_st_бытовая_химия_средства_для_стирки,14,58198.54,601709,560
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,11,58114.06,352583,473
md_pmax_детские_товары_подгузники,24,58079.812299,371299,497
md_pmax_продукты_питания_напитки_холодные_вода,15,58002.866215,656845,665
md_pmax_детские_товары_питание,21,57926.89163,475513,435
md_pmax_алкоголь_вино_игристое,10,57792.36,618004,337
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,50,57770.91055,237454,588
md_pmax_товары_для_дома,23,57747.34,743912,776
md_pmax_товары_для_дома,18,57647.458968,804961,1017
md_pmax_детские_товары_питание,26,57643.313269,459188,437
md_pmax_зоотовары_собаки_кормление,57,57606.557083,238806,442
md_pmax_алкоголь_вино,48,57606.20075,581337,607
md_pmax_товары_для_дома,16,57563.06981,798636,996
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,55,57288.39706,222834,506
md_pmax_алкоголь_вино,50,57281.575497,590319,603
md_pmax_товары_для_здоровья_БАДы,41,57182.889794,1025729,953
md_pmax_алкоголь_вино,36,57138.352678,711644,659
brand_shopping,46,57121.8876,1338194,3298
brand_shopping,39,57096.709041,1480109,2994
md_pmax_товары_для_здоровья_БАДы,45,57024.076226,965934,1038
shop_st_бытовая_химия_средства_для_стирки,15,57014.77,652854,667
md_pmax_товары_для_здоровья_БАДы,44,56921.729998,1044148,932
md_pmax_красота_и_уход_лореаль,36,56911.133197,757437,547
md_pmax_алкоголь_вино,51,56831.440241,531043,603
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,47,56722.019944,243102,459
md_pmax_алкоголь_водка,30,56561.285978,671201,447
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,7,56498.51,330810,445
md_pmax_красота_и_уход_гигиена_подгузники_для_взрослых,52,56388.016456,241556,520
md_pmax_детские_товары_питание,1,56380.09492,587075,448
md_pmax_детские_товары_подгузники,7,56263.583831,449686,426
md_pmax_детские_товары_подгузники,27,56260.501088,326209,493
pr_mega_demgen_spring25_2502,39,56109.184729,533516,109
md_pmax_алкоголь_пиво,26,55981.431889,691837,646
md_pmax_алкоголь_пиво,39,55897.713499,689067,696
